noun,wikipedia
aerodynamics,"Aerodynamics (Ancient Greek: ἀήρ aero (air) + Ancient Greek: δυναμική (dynamics)) is the study of the motion of air, particularly when affected by a solid object, such as an airplane wing."
aerogram,"An aerogram, aerogramme, aérogramme, air letter or airletter is a thin lightweight piece of foldable and gummed paper for writing a letter for transit via airmail, in which the letter and envelope are one and the same."
aeromechanics,"Aeromechanics is the science about mechanics that deals with the motion of air and other gases, involving aerodynamics, thermophysics and aerostatics."
aeronautics,"Aeronautics is the science or art involved with the study, design, and manufacturing of air flight-capable machines, and the techniques of operating aircraft and rockets within the atmosphere."
aerophagia,"Aerophagia (or aerophagy) is a condition of excessive air swallowing, which goes to the stomach instead of the lungs."
aerophilately,Aerophilately is the branch of philately that specializes in the study of airmail.
aerophile,Aerophile SAS is a French company specialized in building and operating tethered helium balloons.
aerosol,An aerosol is a suspension of fine solid particles or liquid droplets in air or another gas.
aerospace,Aerospace is a term used to collectively refer to the atmosphere and outer space.
aeschynanthus,Aeschynanthus is a genus of about 150 species of evergreen subtropical and tropical plants in the family Gesneriaceae.
aesthetics,Aesthetics (also spelled esthetics) is the branch of philosophy concerned with the nature of beauty and the nature of taste; and functions as the philosophy of art.
aestivation,"Aestivation (Latin: aestas (summer); also spelled estivation in American English) is a state of animal dormancy, similar to hibernation, although taking place in the summer rather than the winter."
affair,"An affair is a sexual relationship, romantic friendship, or passionate attachment in which at least one of its participants has a formal or informal commitment to a third person who may neither agree to such relationship nor even be aware of it."
affection,"Affection or fondness is a ""disposition or state of mind or body"" commonly linked to a feeling or type of love."
affenpinscher,"The Affenpinscher is a German breed of small toy dog of Pinscher type.: 30  Originally developed as a mouser, the Affenpinscher's distinctive appearance and charming personality has gained popularity as a companion among dog lovers worldwide."
affidavit,"An affidavit (  AF-ih-DAY-vit; Medieval Latin for ""he has declared under oath"") is a written statement voluntarily made by an affiant or deponent under an oath or affirmation which is administered by a person who is authorized to do so by law."
affix,"In linguistics, an affix is a morpheme that is attached to a word stem to form a new word or word form."
afflatus,"Afflatus is a Latin term used by Cicero in De Natura Deorum, (""The Nature of the Gods"") and has been translated as ""inspiration""."
afforestation,Afforestation is the establishment of a forest or stand of trees (forestation) in an area where there was no recent tree cover.
affray,"In many legal jurisdictions related to English common law, affray is a public order offence consisting of the fighting of one or more persons in a public place to the terror (in French: à l'effroi) of ordinary people."
affricate,"An affricate is a consonant that begins as a stop and releases as a fricative, generally with the same place of articulation (most often coronal)."
affusion,Affusion (la.
aflatoxin,"Aflatoxins are various poisonous carcinogens and mutagens that are produced by certain molds, particularly Aspergillus species."
afterburner,"An afterburner (or reheat in British English) is an additional combustion component used on some jet engines, mostly those on military supersonic aircraft."
afterdamp,"Afterdamp is the toxic mixture of gases left in a mine following an explosion caused by methane-rich firedamp, which itself can initiate a much larger explosion of coal dust."
afterdeck,"In naval architecture an afterdeck or after deck, or sometimes the aftdeck, aft deck or a-deck, is the open deck area toward the stern or aft back part of a ship or  boat."
afterglow,"An afterglow in meteorology consists of several atmospheric optical phenomena, with a general definition as a broad arch of whitish or pinkish sunlight in the twilight sky, consisting of the bright segment and the purple light."
afterimage,An afterimage is an image that continues to appear in the eyes after a period of exposure to the original image.
afterlife,The afterlife or life after death is a purported existence in which the essential part of an individual's stream of consciousness or identity continues to exist after the death of their physical body.
afternoon,Afternoon is the time between noon and evening.
afterpiece,"An afterpiece is a short, usually humorous one-act playlet or musical work following the main attraction, the full-length play, and concluding the theatrical evening."
aftershock,"In seismology, an aftershock is a smaller earthquake that follows a larger earthquake, in the same area of the main shock, caused as the displaced crust adjusts to the effects of the main shock."
aftertaste,Aftertaste is the taste intensity of a food or beverage that is perceived immediately after that food or beverage is removed from the mouth.
agapanthus,"Agapanthus  is a genus of plants, the only one in the subfamily Agapanthoideae of the family Amaryllidaceae."
agape,"In Christianity, agape (; from Ancient Greek  ἀγάπη (agápē)) is ""the highest form of love, charity"" and ""the love of God for man and of man for God""."
agar,"Agar ( or ), or agar-agar, is a jelly-like substance consisting of  polysaccharides obtained from the cell walls of some species of red algae, primarily from ""ogonori"" (Gracilaria) and ""tengusa"" (Gelidiaceae)."
agaric,"An agaric () is a type of  fungus fruiting body characterized by the presence of a pileus (cap) that is clearly differentiated from the stipe (stalk), with lamellae (gills) on the underside of the pileus."
agate,"Agate ( AG-it) is the banded variety of chalcedony, which comes in a wide variety of colors."
